product_idea,potential_market,trend_of_demand,market_acceptance,stability_of_demand,label
coffee shop,20,12,40,20,1
coffee shop,20,12,40,20,1
coffee shop,20,12,40,20,1
coffee shop,20,12,40,20,1
coffee shop,2414,19.33,40.44,70.48,1
coffee shop,20,12,40,20,1
coffee shop,20,12,40,20,1
coffee shop,94,12.58,40.33,486.67,1
coffee shop,20,12.08,39.89,20,1
coffee shop,111178,-328.5,40.27,-0.08,0
coffee shop,20,12,40,20,1
coffee shop,1070,7.75,40.32,19.23,1
coffee shop,20,12,40,20,1
coffee shop,20,12,40,20,1
coffee shop,20,12,40,20,1
coffee shop,20,12,40,20,1
coffee shop,20,12,40,20,1
coffee shop,20,12,40,20,1
coffee shop,20,12,40,20,1
coffee shop,20,12,40,20,1
coffee shop,20,12,40,20,1
coffee shop,20,12,40,20,1
coffee shop,859,12.58,40.3,54.78,1
coffee shop,20,12,40,20,1
coffee shop,20,12,40,20,1
coffee shop,20,12,40,20,1
coffee shop,20,12,40,20,1
community store,20,12,40,20,1
community store,20,12,40,20,1
community store,47,12.58,40.45,20,1
cooking equipments business,20,12,40,20,1
cooking equipments business,20,12,40,20,1
cooking equipments business,20,12,40,20,1
cooking equipments business,20,12,40,20,1
cooking equipments business,21,11.83,40.75,-80,0
cooking equipments business,2357,12.67,40.29,32.5,1
cooking equipments business,20,12,40,20,1
cooking equipments business,46,12.17,40.34,253.33,1
cooking equipments business,42,12,40.33,-46.67,0
cooking equipments business,20,12,40,20,1
cooking equipments business,30,12.25,40.05,15,1
cooking equipments business,28,11.67,39.36,-80,0
cooking equipments business,20,12,40,20,1
cooking equipments business,20,12,40,20,1
cooking equipments business,20,12,40,20,1
cooking equipments business,20,12,40,20,1
cosplay costumer shop,50,12.08,40.2,86.67,1
cosplay costumer shop,1672,11.5,40.35,52.43,1
cosplay costumer shop,51,11.92,40.22,-13.33,0
cosplay costumer shop,25,12.17,40.66,20,1
cosplay costumer shop,605,12.58,40.47,-2.45,0
cosplay costumer shop,20,12,40,20,1
cover mss,20,12,40,20,1
crochet tutorial business,20,12,40,20,1
crochet tutorial business,20,12,40,20,1
crochet tutorial business,306,10.42,40.29,-35.17,0
crochet tutorial business,171,12.08,40.41,36.67,1
crochet tutorial business,20,12.08,40.6,20,1
crochet tutorial business,20,12,40,20,1
crochet tutorial business,20,12,40,20,1
cryptocurrency,2162,10.75,40.32,1.75,0
cryptocurrency,1192,16.42,40.35,86.67,1
cryptocurrency ,1897,20.08,40.34,1320,1
culinary  class business,20,12,40,20,1
culinary  class business,33277,311.33,40.06,210.17,1
culinary  class business,20,12,40,20,1
culinary  class business,20,12,40,20,1
culinary  class business,179,11.08,40.35,8.24,0
culinary  class business,50,12.33,40.32,15,1
culinary  class business,20,12,40,20,1
culinary  class business,20,12,40,20,1
culinary  class business,20,12,40,20,1
culinary  class business,20,12,40,20,1
culinary  class business,20,12,40,20,1
culinary  class business,125,12.25,40.36,170,1
culinary  class business,20,11.92,39.66,-80,0
culinary  class business,20,12,40,20,1
culinary  class business,20,12,40,20,1
culinary  class business,50,12.33,40.28,-80,0
dance school business,20,12,40,20,1
dance school business,13856,0.33,40.37,16.43,1
delivery/courier services,23,11.75,40.64,-46.67,0
delivery/courier services,20,12,40,20,1
delivery/courier services,3607,8.42,40.44,21.51,1
delivery/courier services,20,12,40,20,1
delivery/courier services,21,11.83,40.38,-30,0
delivery/courier services,20,12,40,20,1
delivery/courier services,46,11.67,40.4,1.82,0
delivery/courier services,57,12.17,40.1,520,1
delivery/courier services,20,12,40,20,1
delivery/courier services,20,12,40,20,1
dental clinic,34,12.25,40.4,-80,0
dental clinic,30,12.17,40.86,20,1
dental clinic,298,11.58,40.24,95,1
department store,34,12.25,40.26,20,1
derma clinic,29,12,39.96,20,1
derma clinic,6240,-2.83,40.21,-61.77,0
derma clinic,20,12,40,20,1
derma clinic,34,12.25,40.16,20,1
driving lesson business,20,12,40,20,1
event planning business,6720,20.5,40.19,50.25,1
event planning business,116,11.75,40.51,-46.67,0
event planning business,116,11.67,40.53,-51.43,0
event planning business,49,12.33,40.18,15,1
event planning business,22,12,39.85,20,1
event planning business,296,12.58,40.41,50.77,1
event planning business,20,12,40,20,1
event planning business,48,12.08,40.35,15,1
event planning business,20,12,40,20,1
event planning business,20846,-124.75,40.25,-73.4,0
event planning business,185,11.67,40.32,40,1
event planning business,1498,16.67,40.37,34.81,1
event planning business,32,12.17,40.68,15,1
event planning business,5338,-8.08,40.38,58.63,0
event planning business,20,12,40,20,1
event planning business,22,12.08,40.87,20,1
event planning business,46,11.58,40.42,-80,0
event planning business,175,12.25,40.1,86.67,1
event planning business,13761,26.42,40.29,31.67,1
event planning business,20,12,40,20,1
event planning business,124,12.67,40.25,15,1
event planning business,21,12,40.58,20,1
event planning business,20,12,40.62,20,1
event planning business,20,12,40,20,1
event planning business,24,11.75,40.46,-80,0
event planning business,780,10.5,40.32,9.23,0
event planning business,217,11.42,40.56,-22.11,0
event planning business,20,12,40,20,1
event planning business,22,11.83,40.74,-80,0
event planning business,5644,26.83,40.52,-10.93,0
event planning business,26,12,40.26,20,1
event planning business,20,12,40,20,1
event planning business,24,12.17,40.27,20,1
event planning business,4382,1.42,40.14,-46.08,0
event planning business,56,10.83,40.36,-80,0
event planning business,20,12,40,20,1
event planning business,60,11.58,40.6,-30,0
event planning business,21,11.92,40.92,-80,0
event planning business,20,12,40,20,1
event planning business,529,14.5,40.15,4.21,0
event planning business,48,12.75,40.68,20,1
event planning business,1441,11.25,40.51,-25.54,0
event planning business,540,13.08,40.42,33.79,1
event planning business,20,12,40,20,1
event planning business,20,12,40,20,1
event planning business,299,12,40.88,15,1
event planning business,66,13.5,40.19,20,1
event planning business,2050,10.33,40.79,31.54,1
event planning business,161,12.58,40.39,15,1
event planning business,580,12.75,40.3,953.33,1
event planning business,20,12,40,20,1
event planning business,2044,12.83,40.37,415.65,1
event planning business,2341,7.83,40.13,14.16,0
event planning business,163,12,40.23,53.33,1
event planning business,20,12,40,20,1
event planning business,20,12,40,20,1
event planning business,8972,6.92,40.22,-6.12,0
event planning business,21,11.92,40.21,-80,0
event planning business,20,12,40,20,1
event planning business,22,12,40.6,20,1
event planning business,22,12.08,40.13,15,1
event planning business,401,11,40.31,-58.38,0
event planning business,84,11.58,40.49,120,1
event planning business,588,10.75,40.5,20,1
event planning business,20,12,40,20,1
event planning business,20,12,40,20,1
event planning business,29,12,40.22,15,1
event planning business,20,12.08,40,20,1
event planning business,20,12,40,20,1
event planning business,316,14,40.74,-5,0
event planning business,20,12,40,20,1
event planning business,30463,149.25,40.27,37.51,1
event planning business,470,7.5,40.27,-62.26,0
event planning business,22,12,40,20,1
event planning business,726,18.33,40.57,70,1
event planning business,71,12.08,40.08,220,1
event planning business,20,12.08,40.13,15,1
event planning business,30,12.08,40.19,-80,0
event planning business,15965,20.33,40.39,-8.19,0
event planning business,586,11.83,40.3,16.77,1
event planning business,81,11.83,40.05,80,1
event planning business,20,12,40,20,1
event planning business,3435,-8,40.23,-34.86,0
event planning business,20,12,40,20,1
event planning business,181,11.08,40.05,42.58,1
event planning business,20,12,40,20,1
event planning business,20,12,40,20,1
event planning business,547,12.83,40.2,127.69,1
event planning business,25,12,40.09,15,1
event planning business,20,12,40,20,1
event planning business,20,12,40,20,1
eyewear shop,23,11.83,39.47,-80,0
eyewear shop,1563,6.25,40.21,34.94,1
eyewear shop,20,12,40,20,1
eyewear shop,49,12.83,40.19,170,1
face mask business,2552,-6.67,40.22,-17.36,0
face mask business,20,12,40,20,1
face mask business,20,12.08,40.92,20,1
face mask business,20,12,40,20,1
face mask business,20,12,40,20,1
face mask business,20,12,40,20,1
face mask business,20,12,40,20,1
face mask business,20,11.92,40.49,-80,0
face mask business,20,12,40,20,1
face mask business,28,12,40.48,15,1
face mask business,41,11.92,40.38,20,1
face mask business,20,12,40,20,1
face mask business,20,12,40,20,1
face mask business,20,12,40,20,1
face mask business,20,12,40,20,1
face mask business,20,12,40,20,1
face mask business,40842,-46.83,40.26,51.61,0
face mask business,20,12,40,20,1
face mask business,20,12,40,20,1
face mask business,20,12,40,20,1
face mask business,9175,-13.83,40.31,-36.62,0
face mask business,20,12,40,20,1
face mask business,47,11.33,40.56,-46.67,0
face mask business,20,11.92,40.67,-80,0
face mask business,114,12,40.35,1220,1
face mask business,20,12,40,20,1
face mask business,30,12.67,40.39,195,1
face mask business,20,12,40,20,1
face mask business,20,12,40,20,1
face mask business,20,12,40,20,1
face mask business,20,12,40,20,1
face mask business,692,10.17,40.21,14.74,0
face mask business,20,12,40,20,1
face mask business,20,12,40,20,1
face mask business,20,12,40,20,1
face mask business,20,12,40,20,1
face mask business,20,12,40,20,1
face mask business,915,10.33,40.3,38.29,1
flower shop,20,12,40,20,1
flower shop,3975,-0.25,40.37,-4.21,0
flower shop,28,11.83,40.25422,-80,0
flower shop,20,12,40,20,1
flower shop,20,12,40,20,1
flower shop,20,12.17,40.57,20,1
flower shop,20,12,40,20,1
flower shop,20,12,40,20,1
flower shop,206,12,40.42,-40,0
flower shop,26,12,40.16,20,1
food cart franchise,24890,-308.5,40.13,-72.68,0
food cart franchise,20,12,40,20,1
food cart franchise,20,12,40,20,1
food cart franchise,20,12,40,20,1
food cart franchise,29,12.25,40.5,120,1
food cart franchise,21,11.92,40.42,-80,0
food cart franchise,20,12,40,20,1
food cart franchise,20,12,40,20,1
food cart franchise,155,10.92,40.26,-30,0
food cart franchise,364,2.25,40.27,-75.76,0
food cart franchise,20,12,40,20,1
food cart franchise,156,12.42,40.23,134.29,1
food cart franchise,14805,-210.92,40.43,-70.3,0
food cart franchise,20,12,40,20,1
food cart franchise,20,12,40,20,1
food cart franchise,20,12,40,20,1
food cart franchise,1840,12,40.39,-24,0
food cart franchise,20,12,40,20,1
food cart franchise,58,11.75,40.05,-13.33,0
food cart franchise,20,12,40,20,1
food cart franchise,20,12,40,20,1
food cart franchise,20,12,40,20,1
food cart franchise,45,11.75,40.27,-37.14,0
food cart franchise,20,12,40,20,1
food cart franchise,50,11.92,40.19,520,1
food cart franchise,20,12,40,20,1
food cart franchise,20,12,40,20,1
food cart franchise,1085,9.08,40.28,652.5,1
food cart franchise,24,11.75,40.25,-80,0
food cart franchise,87,12.08,40.04,-68.89,0
food cart franchise,20,12,40,20,1
food cart franchise,116,12,40.13,61.18,1
food cart franchise,20,12,40,20,1
food cart franchise,20,11.92,40.62,-80,0
food cart franchise,20,12,40,20,1
food cart franchise,24899,-27.25,40.34,26.4,0
food cart franchise,71,12,40.1,-46.67,0
food cart franchise,20,12,40,20,1
food cart franchise,182,12.17,40.03,15,1
food cart franchise,22,12,40.37,15,1
food cart franchise,52,12.5,40.29,70,1
food cart franchise,20,12,40,20,1
food cart franchise,41,11.92,40.32,-22.86,0
food cart franchise,25,12.08,40,20,1
food cart franchise,86,11,40.36,-46.67,0
food cart franchise,20,12,40,20,1
food cart franchise,20,12,40,20,1
food cart franchise,39,11.83,40.37,-37.14,0
food cart franchise,198,12.08,40.32,-22.86,0
food cart franchise,20,12,40,20,1
food cart franchise,20,12,40,20,1
food cart franchise,26,12,40.25,70,1
food cart franchise,159,11.75,40.45,-25.45,0
food cart franchise,20,12,40,20,1
food cart franchise,20,12,40,20,1
food cart franchise,20,12,40,20,1
food cart franchise,62,12.67,40.25,-22.86,0
food cart franchise,46,11.5,40.18,20,1
food cart franchise,21,11.92,40.54,-80,0
food cart franchise,464,7.08,40.25,-12.04,0
food cart franchise,20,12,40,20,1
food cart franchise,20,12,40,20,1
food cart franchise,287,15.08,40.33,242.22,1
food cart franchise,152,12.33,40.28,10.91,0
food cart franchise,20,12,40,20,1
food cart franchise,21,12.17,40.32,20,1
food cart franchise,149,12.08,40.27,47.27,1
food cart franchise,38,12,40.01,15,1
food cart franchise,88,12.08,40.19,20,1
food cart franchise,21,12,40,-80,0
food cart franchise,137,12.25,40.28,-2.22,0
food cart franchise,27,12.08,40.31,20,1
food cart franchise,20,12,40,20,1
food cart franchise,20,12,40,20,1
food cart franchise,124,11.5,40.57,-55,0
food cart franchise,20,12,40,20,1
food cart franchise,20,12,40,20,1
food cart franchise,90,10.42,40.26025,-80,0
food cart franchise,20,12,40,20,1
food cart franchise,20,12,40,20,1
food cart franchise,28,11.83,40.79,-80,0
food cart franchise,26,11.83,40.72,-80,0
food cart franchise,20,12,40,20,1
food cart franchise,20,12,40,20,1
food cart franchise,20,12,40,20,1
food cart franchise,20,12,40,20,1
food cart franchise,20,12,40,20,1
food cart franchise,20,12.08,40.4019,20,1
food cart franchise,20,12,40,20,1
food cart franchise,20,12,40,20,1
food cart franchise,20,12,40,20,1
food cart franchise,20,12,40,20,1
food cart franchise,88,12,40.23,20,1
food cart franchise,20,12,40,20,1
food cart franchise,53,12.75,40.38,120,1
food cart franchise,24,12,40.29,20,1
food cart franchise,20,12,40,20,1
food cart franchise,20,12,40,20,1
food cart franchise,20,12,40,20,1
food cart franchise,20,12,40,20,1
food cart franchise,20,12,40,20,1
food cart franchise,20,12,40,20,1
food cart franchise,20,12,40,15,1
food cart franchise,20,12,40,20,1
food cart franchise,20,12,40,20,1
food cart franchise,20,12,40,20,1
food cart franchise,171,11.17,40.33,4.21,0
food cart franchise,7160,13.08,40.16,5501.82,1
food cart franchise,20,12,40,20,1
food cart franchise,20,12,39.7,20,1
food cart franchise,20,12,40,20,1
food cart franchise,1850,27.5,40.31,25.26,1
food cart franchise,20,12,40,20,1
food cart franchise,2313,19.75,40.28,47.2,1
food cart franchise,20,12,40,20,1
food cart franchise,67,12.75,40.18,70,1
food cart franchise,20,12,40,20,1
food cart franchise,20,12,40,20,1
food cart franchise,32,11.83,40.3574,-13.33333333,0
food cart franchise,20,12.08,40.71,20,1
food cart franchise,20,12,40,20,1
food cart franchise,21,12.08,40.51,20,1
food district,20,12,40,20,1
funeral service,178,11,40.16,-3.08,0
funeral service,33,11.33,39.8,-55,0
funeral service,20,12,40,20,1
funeral service,23,12,39.6,15,1
funeral service,131,13.08,39.75,70,1
funeral service,103,12.08,39.87,203.33,1
gas station,2211,14.42,40.34,1.63,0
gas station,20,12,40,20,1
gas station,21,12,40.48,-80,0
gas station,372,11.58,40.64,-7.27,0
gas station,383,10,40.46,-2.58,0
graphic design and video editing business,753,11.25,40.33,33.64,1
graphic design and video editing business,20,12,40,15,1
graphic design and video editing business,1488,13.58,40.32,2508,1
graphic design and video editing business,29579,241.25,40.71,50.38,1
graphic design and video editing business,85994,-641.25,40.21,-58.5,0
graphic design and video editing business,53,12.75,40.66,15,1
graphic design and video editing business,20,12,40,20,1
graphic design and video editing business,32,12.67,40.85,15,1
graphic design and video editing business,2107,4.33,40.33,-4.62,0
graphic design and video editing business,20,12,40,20,1
graphic design and video editing business,419,12.08,40.29,3.78,0
graphic design and video editing business,24,12.08,40.22,15,1
graphic design and video editing business,20,12,40,20,1
graphic design and video editing business,20,12,40,20,1
graphic design and video editing business,20,12,40.77,15,1
graphic design and video editing business,88,11.67,40.49,-30,0
graphic design and video editing business,20,12,40,20,1
graphic design and video editing business,940,11.75,40.41,90.91,1
graphic design and video editing business,22,12,39.76,20,1
graphic design and video editing business,23,12.08,40.65,15,1
graphic design and video editing business,20,12,40,20,1
graphic design and video editing business,35,11.58,40.25,-63.33,0
graphic design and video editing business,8618,-158.42,40.08,-5.48,0
graphic design and video editing business,22,12,40.95,20,1
gun shop,39,11.92,40.22,-55,0
gun shop,1984,9.83,40.17,0.47,0
gun shop,8367,18,40.25,45.08,1
gun shop,20,12,40,20,1
gun shop,20,12.08,40.44,20,1
gun shop,22,12,40,15,1
gun shop,710,7,40.48,9.15,0
hair and grooming home services,1427,16.67,40.29,-31.14,0
hair and grooming home services,42,12.58,40.19,-80,0
hair and grooming home services,28,12.25,40.19,20,1
hair and grooming home services,44,12.17,40.3,420,1
hair and grooming home services,21,12.08,40.28,15,1
hair and grooming home services,20,12,40,20,1
hair and grooming home services,20,12,40,20,1
hair and grooming home services,20,12,40,20,1
hair and grooming home services,63,12.92,40.31,320,1
hair and grooming home services,43,12.25,40.19,53.33,1
hair and grooming home services,55,11.83,40.43,-80,0
hair and grooming home services,35,12.08,40.11,15,1
hair and grooming home services,139,12.92,40.19,20,1
hair and grooming home services,1403,11.17,40.4,576.92,1
hair and grooming home services,26,12.17,40.74,20,1
hair and grooming home services,20,11.92,40.29,-80,0
hair and grooming home services,20,12,40,20,1
hair and grooming home services,386,12.92,40.3,20,1
hair and grooming home services,24,12.33,40.72,20,1
hardware store,628,10.5,40.22,44.66,1
hardware store,27,12.17,40.25,15,1
hardware store,1540,14.33,40.27,-22.86,0
hardware store,453,11.83,40.28,30.53,1
hardware store,20,12,40,20,1
hardware store,26,12,40.03,15,1
hardware store,21,12,39.09,20,1
hardware store,10297,22.33,40.21,63.7,1
hardware store,35,12,39.55,15,1
hardware store,20,12,40,20,1
hardware store,22,12.17,40.29,15,1
hardware store,20,12,40,20,1
hardware store,62,12,40.59,15,1
hardware store,21,11.92,40.21,-30,0
hardware store,34,12.42,40.05,20,1
hardware store,20,12,40,20,1
hardware store,253,11.67,40.25,57.5,1
hardware store,105,11.92,40.14,-30,0
hardware store,146,10.5,40.33,-53.33,0
hardware store,24,11.92,40.36,-80,0
hardware store,20,12,40,20,1
hardware store,22,12,40.01,15,1
hardware store,24,12.17,40.22,20,1
hardware store,31,12.08,40.09,15,1
hardware store,383,10.17,40.23,-8.26,0
hardware store,2053,26.25,40.22,-14.88,0
hardware store,48,12,40,20,1
home cleaning and repair services,185,11.92,40.33,51.58,1
home cleaning and repair services,820,14.33,40.22,114.34,1
home cleaning and repair services,32,12.25,40.29,420,1
home cleaning and repair services,27,11.83,40.37,-80,0
home cleaning and repair services,20,12,40,20,1
home cleaning and repair services,20,12,40,20,1
home cleaning and repair services,679,6.33,40.43,-20.38,0
home cleaning and repair services,35,12.25,40.49,15,1
home cleaning and repair services,20,12,40,20,1
home cleaning and repair services,24,11.92,40.8,20,1
home cleaning and repair services,20,12,40,20,1
home cleaning and repair services,353,19.08,40.57,20,1
home cleaning and repair services,20,12,40.22,20,1
home cooked meals,20,12,40,20,1
home cooked meals,492,10.58,40.28,133.89,1
home cooked meals,866,7.5,40.47,13.1,0
home cooked meals,1228,15,40.27,177.63,1
home cooked meals,20,12,40,20,1
home cooked meals,673,12.92,39.98,42.92,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,22,12.08,40.04,20,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,20,11.92,40,-80,0
home cooked meals,20,12,40,20,1
home cooked meals,46,12,40.4,15,1
home cooked meals,26,12,40,15,1
home cooked meals,29,11.83,39.99,-13.33,0
home cooked meals,20,12.08,40,20,1
home cooked meals,120,11.33,40.15,-71.67,0
home cooked meals,23,11.92,40,-80,0
home cooked meals,24,12.17,39.9,-30,0
home cooked meals,20,12,40.45,20,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12.08,39.98,20,1
home cooked meals,23,12.17,40.52,15,1
home cooked meals,51,11.75,40.18,70,1
home cooked meals,20,12,40,20,1
home cooked meals,32,12.25,40.38,15,1
home cooked meals,20,12,40,20,1
home cooked meals,99,11.25,40.15,20,1
home cooked meals,20,12,40,20,1
home cooked meals,24,12,40.44,20,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,42,11.75,40.43,-30,0
home cooked meals,30,12.08,40.42,20,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,41,11.92,40.35,100,1
home cooked meals,20,12,40,20,1
home cooked meals,36,12.08,40.29,120,1
home cooked meals,20,12,40,20,1
home cooked meals,25,11.92,40.83,-80,0
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,54,12.33,40.4,20,1
home cooked meals,127,12.08,40.36,86.67,1
home cooked meals,419,11.25,40.33,4.44,0
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,651,10.67,40.24,16.61,1
home cooked meals,22,12.25,40.18,20,1
home cooked meals,26,11.92,40.42,320,1
home cooked meals,22,11.92,40,-80,0
home cooked meals,25,12.17,40.6369,20,1
home cooked meals,108,12,40.35,320,1
home cooked meals,20,12,40,20,1
home cooked meals,116,12.58,40.12,-60,0
home cooked meals,21,11.83,40.15,-55,0
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,36,11.75,40.34,20,1
home cooked meals,20,12,40,20,1
home cooked meals,23,12.17,40.13,-80,0
home cooked meals,158,11.33,40.29,-1.43,0
home cooked meals,39,12.58,40.35,-80,0
home cooked meals,17538,-13.5,40.32,8.46,0
home cooked meals,2483,4.67,40.33,3.5,0
home cooked meals,20,12,40,20,1
home cooked meals,20,12,39.92,15,1
home cooked meals,72,12,40.22,170,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,43,12,40.11,-80,0
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,20,11.92,40.91,-80,0
home cooked meals,20,12,40,20,1
home cooked meals,21,11.92,40.47,20,1
home cooked meals,20,12,40,20,1
home cooked meals,26,12.08,40.3,15,1
home cooked meals,20,12,40,20,1
home cooked meals,92,11.58,39.98,-46.67,0
home cooked meals,21,12.08,40.64,20,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,30,12,40.88,15,1
home cooked meals,21,11.83,40.76,-80,0
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,22,11.83,39.55,-80,0
home cooked meals,20,12.08,39.15,20,1
home cooked meals,20,12,40,20,1
home cooked meals,31,11.67,40.13,-80,0
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,40,12.08,40.13,15,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,30,12.08,40.57,20,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12.08,40.3,20,1
home cooked meals,20,12,40.4939,20,1
home cooked meals,20,12,40,20,1
home cooked meals,5710,-29.83,40.35,-68.95,0
home cooked meals,20,12,40,20,1
home cooked meals,72,12.25,40.29,20,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,94,11.42,40.07,38.18,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,891,11.08,40.21,30.42,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,473,11.92,40.3,3.87,0
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40.54,15,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40.07,20,1
home cooked meals,20,11.83,40.46,-80,0
home cooked meals,136,11.75,40.06,0,0
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,22,12.17,39.58,20,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,184,12.25,40.25,-1.05,0
home cooked meals,20,12,40,20,1
home cooked meals,20,12.08,39.49,15,1
home cooked meals,15802,11.92,40.02,-35.56,0
home cooked meals,44,12.17,39.77,-80,0
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,24,11.83,40.41,70,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,24,12,40.47,15,1
home cooked meals,27,12.08,40.45462,70,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,21,11.92,40,-80,0
home cooked meals,23,11.83,39.68,-30,0
home cooked meals,84,12.25,40.21,-35.56,0
home cooked meals,20,12,40,20,1
home cooked meals,472,14.75,40.27,1000,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,31,12.42,40.21,15,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,34,11.67,40.2,-30,0
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12.08,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,330,11.5,40.32,36.67,1
home cooked meals,20,12,40,20,1
home cooked meals,47,12.17,40.45,220,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,44,12,40.14,-46.67,0
home cooked meals,20,12,40.36,20,1
home cooked meals,20,12,40,20,1
home cooked meals,41,12.25,40.17,120,1
home cooked meals,34,11.5,40.2,-51.43,0
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,255,11.08,40.24,-37.89,0
home cooked meals,20,12.08,40.27,20,1
home cooked meals,31,11.92,39.99,-80,0
home cooked meals,20,12,40,20,1
home cooked meals,15879,12.5,40.34,-13.33,0
home cooked meals,20,12,40,20,1
home cooked meals,48,12.17,40.44,15,1
home cooked meals,30,11.67,40,-80,0
home cooked meals,190,13.67,40.44,70,1
home cooked meals,20,11.92,40.57,-80,0
home cooked meals,720,11.42,40.19,38.87,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,128,12,40.22,-30,0
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,25,12.08,40.33,20,1
home cooked meals,25,12.08,40.48,-80,0
home cooked meals,20,12,40,20,1
home cooked meals,585,12.58,40.24,20,1
home cooked meals,20,12,40,20,1
home cooked meals,26,11.83,40.37,-30,0
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,583,11.83,40.29,2.26,0
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12.08,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,23,12.17,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,23,11.83,40.44,-80,0
home cooked meals,20,12,40,20,1
home cooked meals,93,11.75,40.28,66.67,1
home cooked meals,23,12.17,40,20,1
home cooked meals,20,12,40,20,1
home cooked meals,226,12.25,40.3,-20,0
home cooked meals,20,12,40,20,1
home cooked meals,20,12,40,20,1
home essentials shop,20,12,40,20,1
home essentials shop,26,12.25,40.98,20,1
home essentials shop,28,12.33,40.21,20,1
home essentials shop,1427,14.17,40.06,20,1
home essentials shop,2101,18.25,40.44,14.19,0
home essentials shop,1550,10.17,40.27,-66.21,0
home essentials shop,303,11.83,40.5,2420,1
home essentials shop,20,12,40,20,1
home essentials shop,497,9.75,40.12,-15.29,0
home essentials shop,20,12,40,20,1
home essentials shop,20,12,40,20,1
home essentials shop,20,12,40,20,1
home essentials shop,20,12,40,20,1
home essentials shop,23,12.08,39.84,15,1
home essentials shop,23,12,40.09,20,1
home essentials shop,1233,27.92,40.47,-17.5,0
home essentials shop,5788,-34.75,40.02,227.92,0
home essentials shop,1451,9.08,40.02,-15.59,0
home essentials shop,61,12.25,40.315496,-5,0
